"results_author","results_date","results_des","results_img","results_title","results_url"
"搜狐网","2019年8月28日","这个跟地基土软弱相近,在房屋建造前若勘察时过高地估计地基土的承载力或设计时漏算荷载,都会导致基底应力过高,引起地基失稳而使房屋倾斜甚至倒塌。 05 设计建造不当 房屋重心与基底形态经常会出现很大偏离的情况,当设计建筑时房屋的厨房...","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=1041791294,1851366657&fm=217&app=92&size=f242,162&n=0&g=0n&f=JPEG?s=A5224DB31B7A92C80601F0040300C0C0&sec=1618987792&t=2b4a7983ba8571bc3c97dcc43fe83d71","突发!又一处居民楼倾斜坍塌事故发生!","https://www.sohu.com/a/337293057_99950625"
"life身边事","2019年8月28日","记者从管城回族区安全生产委员会办公室获悉,8月28日上午9时30分左右,未来路与凤凰路西南角中国建筑第七工程局有限公司承建的中博集团(原杨庄村)中博片区城中村改造项目B地块项目工程发生一起塔吊倒塌事故,事故初步原因查明,系施工总承包...","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=2502382697,3719965868&fm=173&app=49&size=f242,162&n=0&g=0n&f=PNG?s=F103F01A18648A88899B35D6030080A8&sec=1618987792&t=f7e6411c99fcc430d8400fd51e38d795","郑州一工地塔吊倒塌已致3死1伤 法人代表被控制","https://baijiahao.baidu.com/s?id=1643101481618103564&wfr=spider&for=pc"
"澎湃新闻","2019年8月28日","据@郑州发布 8月28日消息,记者从管城回族区安全生产委员会办公室获悉,8月28日上午9时30分左右,未来路与凤凰路西南角中国建筑第七工程局有限公司承建的中博集团(原杨庄村)中博片区城中村改造项目B地块项目工程发生一起塔吊倒塌事故,事故...","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=2462923094,2779825813&fm=217&app=92&size=f242,162&n=0&g=0n&f=PNG?s=F002F0121A9C47EDC25934D7030010A0&sec=1618987792&t=a5dbad2d125c191c57d1e56bf830d87a","郑州一工地塔吊倒塌已致3死1伤,企业法人代表被警方控制","http://www.thepaper.cn/newsDetail_forward_4274643"
"赛为安全safeway","2019年8月28日","今天(8月28日)上午,深圳市罗湖区船步街和平新居71栋靠西面一栋居民楼发生楼体倒塌。目前,消防等各部门正在救援。 事发前社区工作站已发现地下异响并撤离疏散居民,目前无人员伤亡。事发后,罗湖区第一时间成立现场指挥部开展处置,相关...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=2281766943,2393989407&fm=173&app=49&size=f242,162&n=0&g=0n&f=JPEG?s=28D24F81468A25519521549D030080C2&sec=1618987792&t=48d34a92ce3d1837fb8f3d3bfeec80ac","突发!深圳一栋楼房倾斜倒塌,你家的楼安全吗?","https://baijiahao.baidu.com/s?id=1643092911132865334&wfr=spider&for=pc"
"央视网新闻","2019年8月28日","(原标题:深圳罗湖区一楼层突然倒塌 现场已被封锁) 8月28日上午,深圳市罗湖区船步路和平新居一住宅楼突然倒塌。 记者在现场看到,倒塌的楼房向左侧倾斜,许多石块堆积在地面。事发后现场已被封锁,警车、消防车、救护车等陆续抵达现场。据...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=1842449937,2806093384&fm=173&app=49&size=f242,162&n=0&g=0n&f=JPEG?s=5C80FD17722319111E19F5A703002021&sec=1618987792&t=c235fb9afc1a7e34f961c734b587d39f","深圳罗湖区住宅楼突然倒塌 现场已被封锁人员撤离","https://baijiahao.baidu.com/s?id=1643088693442217356&wfr=spider&for=pc"
"网易新闻","2019年8月28日","深圳市罗湖区船步路和平新居一住宅楼突然倒塌 (来源:网易视频)  您的浏览器暂时无法播放此视频. 突发!深圳罗湖区一楼层突然倒塌,现场已被封锁 (来源:网易视频)  南都讯8月28日上午,深圳市罗湖区船步街和平新居71栋靠西面一栋居民楼...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=2704954872,3330030557&fm=217&app=92&size=f242,162&n=0&g=0n&f=JPEG?s=EF1A0FC3422A86FC4ED9211D030080D0&sec=1618987792&t=e4da69f3587692905a1de2dc8e219632","深圳一居民楼突倒塌45°角靠在隔壁楼上 现场曝光","https://news.163.com/19/0828/13/ENLUKFUN0001899N.html"
"搜狐网","2019年8月16日","事故描述:2006年1月28日,卡托维兹贸易大厅的屋顶在波兰的Katowice倒塌。当时屋内有700人,造成65人死亡,170多人受伤,其中包括13名外国人。 事故原因:波兰政府的检察官调查结果显示:建筑物中的大雪和冰没有被及时清除,屋顶已经损坏,但管理...","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=2563313032,1458240751&fm=217&app=92&size=f242,162&n=0&g=0n&f=JPEG?s=8CE27A2528632A0D5A888DD30100D091&sec=1618987792&t=0d6192691719aee5e029de63ee614f9a","史上最严重的十大建筑事故:反思和前进","https://www.sohu.com/a/334278044_99912178"
"搜狐网","2019年8月14日","所以,单从使用年限看,目前市场上大部分在用设备,安全性能完全没问题的,塔吊想要倒塌,还是很难的! 但是,现实却是,很多准新塔吊、甚至刚出厂塔吊倒塌的事故,屡见不鲜! 为什么? 02 再看塔吊的使用循环数 ...","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=913853909,234906464&fm=217&app=92&size=f242,162&n=0&g=0n&f=JPEG?s=47965C810C4346DE30BC310A030070C0&sec=1618987792&t=1656da286a7efc645ceaa54b16cbae89","塔吊要倒塌?其实很难!!!_事故","https://www.sohu.com/a/333561247_690248"
"大众日报","2019年8月13日","农作物受灾面积478.95千公顷,倒塌房屋3318间。因灾死亡5人、失踪7人,其中1人因抗洪救灾牺牲。全省因灾害损失巨大,相关灾情数据正在进一步统计。全省干部群众正全力开展抢险救灾,努力恢复灾区生产生活秩序。针对暴雨洪涝灾情,省里已于8月12...","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=949527503,718260798&fm=173&app=49&size=f242,162&n=0&g=0n&f=JPEG?s=CF43DE1828EA6C092472DCC90300C0BB&sec=1618987792&t=6ea06b27f2a2863d2d04f13d5c846971","山东373万人受灾,紧急转移37万人!倒塌房屋3318间","https://baijiahao.baidu.com/s?id=1641723756614160800&wfr=spider&for=pc"
"潇湘晨报","2月22日","第一次全国自然灾害综合风险普查是一项重大的国情国力调查。杭州市临安区作为国家级试点县之一,自2020年6月以来,积极谋划,不断创新,通过6个多月的努力,各业务线均已取得阶段性成果。 2月4日,杭州市临安区召开第一次全国自然灾害综合...","https://cambrian-images.cdn.bcebos.com/a51d142ac7625feda1002f0c739ae255_1606863438588053.jpeg@w_100,h_100","杭州市临安区第一次全国自然灾害综合风险普查试点任务各灾种阶段...","https://baijiahao.baidu.com/s?id=1692380829610817052&wfr=spider&for=pc"
