"results_author","results_date","results_des","results_img","results_title","results_url"
"大洋网","10天前","印尼抗灾署于4月9日发布消息确认,东努沙登加拉省发生的山体滑坡,目前已经确认造成167人死亡,另有45人失踪。 [ 编辑: 何雯飔 ]免责声明:文中图片如有版权问题请联系网站处理,谢谢。分享到: ...","NoPicture","印尼东努沙登加拉山体滑坡死亡人数上升到167人","https://news.dayoo.com/world/202104/10/139998_53868270.htm"
"永川网","10天前","广州山体滑坡防护网定做厂家产品整体性能  它以其精湛的技术、完善的施工工艺和规范的操作,得到了广泛的应用。 安装弯头并焊接固定。 地形平整在同一轮廓线上基本上是一个小值。 具有高柔性,高防护强度,易铺展性。 柱子是镀锌的,防腐...","NoPicture","广州山体滑坡防护网定做厂家产品整体性能","http://news.ycw.gov.cn/hyxw/46889179.html"
"大洋网","4月9日","温馨提醒:1、注意防御短时大风导致的厂房工棚、临时构筑物、户外广告牌、树木倒塌等灾害和局地雷击灾害。2、注意防御短时强降水引发的积涝、山洪和泥石流、山体滑坡等灾害。3、天气变化较快,注意适时增减衣物。 ","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=2214358283,2752320720&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=20A0E4B54E333E921595CD1F0300D0C1&sec=1618986669&t=b39f63d8455064025fef03d07175017c","9日早晨粤西和珠三角降水明显,广州今天局部有雨","https://news.dayoo.com/guangdong/202104/09/139996_53866443.htm"
"大洋网","4月9日","温馨提醒:1、注意防御短时大风导致的厂房工棚、临时构筑物、户外广告牌、树木倒塌等灾害和局地雷击灾害。2、注意防御短时强降水引发的积涝、山洪和泥石流、山体滑坡等灾害。3、天气变化较快,注意适时增减衣物。 ","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=638686331,4155118282&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=0430EC320F0A66453E5D535D020010F2&sec=1618986669&t=8c96f5f7e15c73544cf8b5b024aab9e9","8日到9日早晨粤西和珠三角降水明显,广州今天局部有雨","https://news.dayoo.com/gzrbrmt/202104/09/158562_53866426.htm"
"大洋网","4月8日","当地时间4月8日,据印尼媒体报道,该国东努沙登加拉省山体滑坡死亡人数上升到138人,另有61人失踪。 此外,据印尼气象、气候及地球物理局报道,印尼热带气旋塞洛亚已经开始向印度洋方向移动,对东努沙登加拉省的影响会逐渐减弱,预计未来会对...","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=288955394,3882746304&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=D30160AA520216ECA80AEB0F030030EE&sec=1618986669&t=15bab18c6994158f10acfbdad9ab0a1d","印尼山体滑坡死亡人数上升至138人,另有61人失踪","https://news.dayoo.com/gzrbrmt/202104/08/158541_53865982.htm"
"光明网","4月7日","当地时间4月6日,据印度尼西亚抗灾署公布的最新消息,该国东努沙登加拉省因山体滑坡而死亡的人数上升到128人,另有72人失踪。据悉,此次山体滑坡是由热带气旋引起的极端天气造成的。印尼国家抗灾署发言人拉迪提亚·贾迪6日发布声明说,4日...","https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=355419154,139439578&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=38910BD15051BBC6420CC4A303003041&sec=1618986669&t=bfd8742573a78cab5722a202f902daeb","噩耗传来!128人不幸遇难","https://baijiahao.baidu.com/s?id=1696363241357468301&wfr=spider&for=pc"
"大洋网","4月6日","当地时间4月6日,据印度尼西亚抗灾署公布的最新消息,该国东努沙登加拉省因山体滑坡而死亡人数上升到128人,另有72人失踪。 据悉,此次山体滑坡是由热带气旋引起的极端天气造成的,灾害涉及到当地8个城市和地区。 ","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=1461279407,916537921&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=B9930BD55879BAC6420CC0A303003041&sec=1618986669&t=d7f3c57a211f952f755997504ef53561","印尼东努沙登加拉省山体滑坡死亡人数上升至128人","https://news.dayoo.com/gzrbrmt/202104/06/158562_53862491.htm"
"广州日报","4月6日","当地时间4月6日,据印度尼西亚抗灾署公布的最新消息,该国东努沙登加拉省因山体滑坡而死亡人数上升到128人,另有72人失踪。据悉,此次山体滑坡是由热带气旋引起的极端天气造成的,灾害涉及到当地8个城市和地区。来源:人民日报新闻客户端...","https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=1900118094,139359324&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=B9930BD55879BAC6420CC0A303003041&sec=1618986670&t=70a22457a44bd08d2e7f56ecc9577172","印尼东努沙登加拉省山体滑坡死亡人数上升至128人","https://baijiahao.baidu.com/s?id=1696277122479151977&wfr=spider&for=pc"
"广州日报","4月6日","当地时间4月5日,印尼东努沙登加拉省副省长约瑟夫发布最新消息,东努沙登加拉因山体滑坡而死亡人数上升到84人。当地政府建立了一些临时避难场所,为受灾民众提供公共食堂。来源:央视新闻客户端(记者 贾建京)广州日报·新花城编辑:陈雅诗...","https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=3196006372,139330728&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=28180FDACAFB028632950D3001005092&sec=1618986670&t=68dcb0df9e8e4478f2061cb13c57b3f1","印尼东努沙登加拉省山体滑坡死亡人数上升至84人","https://baijiahao.baidu.com/s?id=1696246424800104113&wfr=spider&for=pc"
"广州日报","4月5日","此外,印尼阿多纳拉岛近日发生山体滑坡和山洪,截至4日,已经造成至少44人死亡,20多人仍然失踪。气象部门提醒,印尼多个地区今后一周可能面临极端天气,要谨防暴雨、强风和大浪。来源:新华社 (杨舒怡)头图:新华社资料图广州日报·新花城编辑...","https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=2850594544,139274600&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=2A8C8D4C49C3336C4C6C7D870300E0C8&sec=1618986670&t=1a54d4a6ea983420aee07243a850f0be","印尼火山泥流致18死62伤","https://baijiahao.baidu.com/s?id=1696186159485417661&wfr=spider&for=pc"
