,名词,词频
975,减灾委,3
933,指导,3
972,推进,3
1635,抢修,3
1755,泄漏,3
750,里面,3
1445,屋顶,3
567,旁边,3
1546,地方,3
594,老人,3
2214,数量,3
100,村庄,3
572,后 ,3
1771,同志,3
1692,受灾,3
95,事宜,3
1769,报送,3
942,核定 ,3
584,行人,3
113,建房,3
547,自媒体,3
128,防地质,3
1019,东西,3
607,观点,3
2356,成果,3
1042,时期,3
1106,水库,3
1531,状态,3
124,市长,3
1030,资产,3
122,市委,3
926,干旱 ,3
1438,意识,3
2233,抗灾,3
1474,官员,3
1002,纸币,3
120,搬迁,3
998,双子塔,3
1475,西部,3
927,降水 ,3
991,国际,3
599,瞬间,3
543,信息 ,3
544,声明 ,3
545,图片,3
1295,小时,3
147,职责,3
649,别墅,3
2156,总队,3
1925,搜救,3
1505,民族,3
1219,物资,3
2159,报告,3
1211,公报,3
384,汽车,3
1938,楼体,3
1351,实战,3
308,微信,3
165,成员,3
164,党组,3
1338,新闻办,3
1835,危楼,3
1392,预测,3
163,规划局,3
1741,建筑物,3
1183,疫情,3
877,自行车,3
1179,意义,3
1958,中 ,3
37, 二,3
159,常委,3
1502,城墙,3
1844,晚报,3
1962,抗灾署,3
1493,电子,3
10,人 ,3
830,趋势,3
835,中旬,3
1269,教堂,3
1895,地块,3
1494,大学,3
844,民居,3
348,核电站,3
1257,设计,3
1256,审批,3
43,水文,3
716,报道,3
357,港口,3
69,山火,3
1244,道路 ,3
1242,集装箱,3
1677,汛情,3
855,水泥,3
818,支撑,3
367,咨询,3
738,钱,3
176,洪灾,3
1173,网 ,3
160,副市长,3
150,政治,3
1118,工程师,3
1129,协会,3
1122,产业,3
291,精神,3
1987,国情,3
409,创作者,3
1385,装修,3
1613,三角,3
1814,桥梁,3
882,目击者,3
771,事情,3
1513,北方,3
1974,信息化部,3
1612,消息 ,3
1485,倾斜,3
296,办事处,3
1965,气旋,3
1964,热带,3
2390,偏差 ,3
1721,重点,3
288,交流,3
1357,话,3
429,部分,3
93,业务,3
813,准备,3
1377,安置,3
2392,流域,3
1367,爆发,3
2133,厌氧罐,2
2195,降水量,2
2197,战地,2
748,挖掘 ,2
2134,重伤员,2
847,望远镜,2
2212,全境,2
2201,系列,2
2226,供应链,2
2130,园区,2
1627,腿,2
2209,上下,2
743,傻子,2
903,地位,2
832,雨水,2
740,前世,2
1637,公路,2
937,水利厅,2
2184,恐袭,2
931,农户,2
2198,6 ,2
817,基层,2
760,同期,2
2119,浪迹,2
763,国祚,2
2155,微博,2
1639,党员,2
778,地表,2
795,权益,2
2157,震感,2
811,行政村,2
797,权属,2
756,分布,2
815,隐患 ,2
810, 街道,2
2140,金服,2
753,常年,2
2115,住宅楼,2
798,网,2
1636,晚,2
883,高度,2
2161,罐体,2
887,夜,2
752,降雨量,2
2149,秩序,2
891,首富,2
2169,河道,2
2220,调研,2
909,整治,2
1693,大道,2
940,建设厅,2
1370,内部,2
1653,长廊,2
1384,安装,2
1387,质量,2
1395,霜冻 ,2
1806,灾情 ,2
1404,雷暴,2
1603,楼房 ,2
1413,裂缝,2
1417,假期,2
1791,团队,2
1422,放假,2
1424,假期 ,2
1439,电网,2
1440,供电局,2
1655,医务,2
1373,爆发 ,2
1358,气象 ,2
944, 局地,2
1834, 危楼,2
1886,人民币,2
1284,南部,2
1291,世贸,2
1298,资料,2
1299,抗,2
1300,试验,2
1871,性能,2
1309,民房,2
1310,机构,2
1312,总理,2
1848,灯柱,2
1841,图,2
1344,沙尘 ,2
1347, 钟,2
1350,战勤,2
1656,报警,2
1770,信息员,2
1666,桥,2
1768,调研组,2
1717, 县,2
1713,背景,2
1682,围栏,2
1529,小轿车,2
1684,女童,2
1530,防总,2
1532,崩塌,2
1534,险情 ,2
1536,现场 ,2
1709,抵抗,2
1708,目标,2
1547,协调,2
1554,总指挥部,2
1556,大佛,2
1559,头,2
