,名词,词频
808,准备,6
1008,市政府,6
329,公众,6
803,行业,6
306,物品,6
863,级,6
928,干旱 ,6
884,人民币,5
1940,社交,5
1938,大使馆,5
1056,发生,5
906,乡,5
709,群防,5
708,群测,5
2563,大 ,5
1814,林业局,5
1797,位置,5
1852,偏差,5
2449,效果,5
825,趋势,5
2136,沿岸,5
735,条件,5
2270,集团,5
795,文章,5
2230,流域,5
2223,应对,5
2166,飞船 ,5
2148,副部长,5
2105,海啸,5
2007,崩塌,5
530,声明 ,5
2428,冰冻,5
532,图片,5
2433,副总指挥,5
539,党委,5
540,村,5
2610,刑事,5
1786,院,5
1665,卫生,5
1,避险,5
2946,首都,5
1330,暴雨 ,5
1324,农村,5
1301,周围,5
1286,话,5
987,灭火,5
1266,日报,5
2945,时报 ,5
1205,教育部,5
2631,美军,5
677,调研组,5
1153,监管,5
3015,海洋局,5
2294, 地震 ,5
1037,基地,5
1093,任务,5
1069,厅,5
1371,灾害点,5
667,责任 ,5
1382,汽车,5
952,政策,5
1059,城区,5
930,大风,5
1652,伤员,5
2685,氢弹,5
1579,海域,5
1571,防总,5
1550,普查 ,5
2775,财经,5
630,超新星,5
1494,保安,5
632,太空,5
785,目的,5
1429,官员,5
1421,文化,5
1419,险情,5
0,转移,5
2292,汛情,5
402,保护,5
139,值班,5
54,观测,5
267,东部,5
190,关注,5
292,辖区,5
265,情报,5
434,责任人,5
43,水文,5
68, 自然,5
409,副书记,5
93,业务,5
233,市民,5
104,开发,5
279,当量,5
124,市长,5
119,规模,5
351,冰雹 ,4
177,发生 ,4
367,抽查,4
1565,预案 ,4
781,人们,4
182,医护,4
2545,比赛,4
2065,画面,4
2064,工厂,4
181,卫生院,4
2057,微博,4
784,文,4
2055,商业,4
665,统筹,4
1580,军事,4
176,洪灾,4
2725, 图,4
428,培训会,4
675,一行,4
1612,孩子,4
2430,总指挥部,4
2432,金矿,4
2746,规范,4
2750,资质,4
413,抗灾,4
1538,类型,4
794,评论 ,4
2141,部,4
1445,碎片,4
3091,雨情 ,4
2135,结果 ,4
2134,修订,4
1463,市中心,4
2132,深度,4
2131,震源,4
2130,群岛,4
3101,煤矿,4
439,研究院,4
198,先生,4
2779,保监会,4
2778, 统计局,4
1893,石油,4
989,士兵,4
792,举报 ,4
1886,线路,4
946,冷冻 ,4
2434,矿工,4
2503,罐车,4
1943,搜救,4
1731,蝗灾,4
734,经营,4
1742,民族,4
1958,编辑,4
741,决策,4
1948,公民,4
144,运行,4
858,资料,4
344,研究 ,4
1780,网上,4
2473,表情包,4
126,检查组,4
1937,治疗,4
2554,机构,4
841, 据,4
2584,倒塌 ,4
136,枢纽,4
2501,石油气,4
764,记载,4
2502,运输槽,4
2636,火锅,4
815,总局,4
685,宣传,4
1654,成果,4
2032,上空,4
1621,居民楼,4
814,矿山,4
1630,威力,4
317,影响 ,4
929,降水 ,4
1031,处理,4
160,副市长,4
1653,专项,4
703,标题,4
897,新区,4
158,副省长,4
2455,形态,4
1670,灾种,4
394,栏目,4
393,时 ,4
2670,校方,4
89,会,4
3399,雷害,4
2460,表情 ,4
493,危害,4
2771,思想,4
793,反馈 ,4
6,风险 ,4
550,化工厂,4
210,地点,4
1215,思维 ,4
229,餐馆,4
2333,主管,4
2269,总会,4
2336,共和国,4
481,预报 ,4
529,信息 ,4
519,玉米,4
1357,中,4
2266,雪灾 ,4
12,力量,4
3030,计生委,4
1234,降水量,4
236,周边,4
570,火灾 ,4
264,总理,4
1101,阶段,4
1328,破坏 ,4
565,辐射,4
1306,安置,4
2348,水域,4
1319,预测,4
1315,结构,4
268,爆炸案,4
