,名词,词频
121,农民,4
913,0  ,4
1491,蝗灾,4
2206,病原,4
935,G240,4
196,晚报,4
363,星系,4
235,线,4
832,摩托车,4
229,中 ,4
271,监控,4
274,公交,4
376,灭火,4
277,救援车,4
1113,内涝,4
371,起火 ,4
219,公募,4
843,牌号,4
2203,畜禽,4
943,月球,4
357,段,4
1713,年景,4
358, 伤者,4
938,公安 ,4
941,卫健,4
939,应急 ,4
209,绿化带,3
208,事故车,3
557,小编,3
884,滑坡,3
900,培训班,3
537,年度,3
595,瑶族,3
885,演练 ,3
1126,爆发,3
198,客户,3
1759,西部,3
886,气象台,3
176,洪灾,3
903,精神 ,3
128,防地质,3
2110,议员,3
2117,儿童,3
140,值守,3
1551,损伤,3
1547,电影,3
1622,剧,3
1478,报送,3
2254,日系,3
1480,了解,3
1550,隔离栏,3
1941,快讯,3
160,副市长,3
600,条件,3
390,衣服,3
602,实施,3
942,事故调,3
1171,市区,3
712,经验,3
1530,地下,3
1865,冷冻,3
659,人们,3
708,中旬,3
43,水文,3
663,目的,3
1176,老人,3
39,主任,3
940,消防 ,3
1796,抗灾,3
1003,统计,3
701,关注,3
1795,底数,3
1513,北方,3
1333,低温,3
1913,成果,3
10,人 ,3
1658,报告,3
687,基层,3
689,支撑,3
966,科技,3
6,风险 ,3
649,伤亡 ,3
932,车子,3
603,党,3
77,暴风雪,3
1714,偏差,3
606,决策,3
607,部署 ,3
1310,绿化,3
610,常年,3
1312,类型,3
1007, 汛,3
614,涝,3
955,损毁,3
618,同期,3
1931,片,3
1843,水利部,3
643,会商会,3
1844,部长,3
1671,农村部,3
1034,之一,3
1321,国情,3
634,记载,3
720, 据,3
1496,文化,3
1322,国力,3
2032,者,3
1930,照片,3
69,山火,3
243,调查 ,3
1883,电力,3
346,省道,3
787,水务局,3
1229,防总,3
1261,门口,3
315,车体,3
313,人士,3
1230,状态,3
429,玻璃,3
1817,核心,3
427,救援站,3
1594,流量,3
349,救治 ,3
1280,任务,3
849,都市,3
802,乡村,3
489,防护,3
2179,河流,3
780,评审会,3
1277,会议室,3
1105,实战,3
1579, 中巴车,3
1599,图,3
851,西丁字,3
1582,座椅,3
1583,车厢,3
1698,降水量,3
1581,洞 ,3
443,水域,3
799,乡,3
1972, 风雹 ,3
333,自治县,3
1431,安排,3
441,泄漏,3
2169,总书记,3
1964,救护车,3
462,广告,3
1467,赈灾,3
1580,左侧,3
793,县委,3
2151,气囊,3
1012,调研员,3
801,派出所,3
1089,日报,3
364,恒星,3
1270,预测,3
377,大火,3
287,变形 ,3
1604,车主,3
285,撞击,3
1111,降雨 ,3
375,消防车,3
2200,倒塌 ,3
279,新闻 ,3
1114,洪 ,3
841,意外,3
522,责任 ,3
1255,事,3
365,距离,3
362,仙女座,3
300,脚,3
303,牌照,3
773,人民币,3
1466,预防,3
259, 反馈 ,3
1235,灾害点,2
1754,东南部,2
1336,新闻网,2
1746,黄土,2
1014,报灾,2
996,防洪,2
1693,风雹,2
1748,防治区,2
724,主题,2
831, 踏板,2
1868,景区,2
1285,台风 ,2
852,减灾委,2
1687,抗灾署,2
929,的士,2
1686,联播,2
1663,崩塌 ,2
846,伤情,2
1974, 地震 ,2
705,雨水,2
1196,施工,2
815,报警人,2
1864,介绍 ,2
1327,微信群,2
845,部分,2
817,事故科,2
945,行星,2
934,急救,2
1326,农村局,2
840,三分 ,2
839,侥幸,2
1043,污染 ,2
1866,雪灾,2
1039,猪油,2
1747,高原,2
1697,影响 ,2
1299,专署,2
857,观众,2
727,实践,2
1292, 虫 ,2
