Words,Freq
乙,0.9403650550369236
 诺,0.9403650550369236
 水痘,0.9403650550369236
冠肺炎 ,0.9403650550369236
肠道,0.9403650550369236
病种,0.9403650550369236
中医药,0.9403650550369236
发热,0.9403650550369236
传染,0.9403650550369236
讲座 ,0.9403650550369236
流行学,0.9403650550369236
地方病,0.9403650550369236
样本,0.9403650550369236
防治所,0.9403650550369236
实验室 ,0.9403650550369236
SARS,0.9403650550369236
障碍,0.9403650550369236
流调,0.9403650550369236
准,0.9403650550369236
危重症,0.9403650550369236
判,0.9403650550369236
 肺结核,0.9403650550369236
流行区,0.9403650550369236
法治,0.9403650550369236
流感 ,0.9403650550369236
 禽流感,0.9403650550369236
新冠  ,0.9403650550369236
遗传学,0.9403650550369236
鼠疫 ,0.9403650550369236
畏寒 ,0.9403650550369236
免疫,0.9403650550369236
复课,0.9403650550369236
5月 ,0.9403650550369236
医生云,0.9403650550369236
新法,0.9403650550369236
议院,0.9403650550369236
肺结核,0.9403650550369236
 炭疽,0.9403650550369236
司法厅,0.9403650550369236
潜伏期,0.9403650550369236
防疫法,0.9403650550369236
病死率,0.9403650550369236
猫瘟,0.9403650550369236
医学院,0.9403650550369236
宿主,0.9403650550369236
禁毒,0.9403650550369236
中小,0.9403650550369236
传染病学,0.9403650550369236
异常,0.9403650550369236
口罩 ,0.9403650550369236
感冒 ,0.9403650550369236
道传,0.9403650550369236
暮春,0.9403650550369236
流行病,0.9403650550369236
体育局,0.9403650550369236
甲,0.9403650550369236
消毒,0.9403650550369236
流行性,0.9403650550369236
唾液,0.9403650550369236
机关 ,0.9403650550369236
大礼堂,0.9403650550369236
任主任,0.9403650550369236
脊灰,0.9403650550369236
共同体,0.9403650550369236
孩子们,0.9403650550369236
德阳,0.9403650550369236
卫健委 ,0.9403650550369236
空间站,0.9403650550369236
基因组,0.9403650550369236
重症,0.9403650550369236
标兵,0.9403650550369236
天花 ,0.9403650550369236
 艾滋病,0.9403650550369236
肺炎 ,0.9403650550369236
蚊媒,0.9403650550369236
诊治,0.9403650550369236
H1N1,0.9403650550369236
乙肝,0.9403650550369236
死亡数,0.9403650550369236
梅毒 ,0.9403650550369236
肺结核 ,0.9403650550369236
美容,0.9403650550369236
过敏症,0.9403650550369236
协同 ,0.9403650550369236
计生,0.9403650550369236
梅毒,0.9403650550369236
低热 ,0.9403650550369236
学分会,0.9403650550369236
医学会,0.9403650550369236
感染科,0.9403650550369236
质控,0.9403650550369236
小儿,0.9403650550369236
结核 ,0.9403650550369236
手足,0.9403650550369236
臀口处,0.9403650550369236
检疫,0.9403650550369236
轻型,0.9403650550369236
发病 ,0.9403650550369236
出疹,0.9403650550369236
斑丘疹 ,0.9403650550369236
口腔 ,0.9403650550369236
手足处,0.9403650550369236
疟,0.9403650550369236
重症 ,0.9403650550369236
预言 ,0.9403650550369236
灾难片,0.9403650550369236
评论家,0.9403650550369236
讲坛 ,0.9403650550369236
预言,0.9403650550369236
进出境,0.9403650550369236
纵横 ,0.9403650550369236
证词,0.9403650550369236
出汗  ,0.9403650550369236
提案 ,0.9403650550369236
肾脏病,0.9403650550369236
总医院,0.9403650550369236
 JAM,0.9403650550369236
 持久性,0.9403650550369236
细化 ,0.9403650550369236
医疗机,0.9403650550369236
接触者,0.9403650550369236
完善 ,0.9403650550369236
传染 ,0.9403650550369236
专条,0.9403650550369236
传染病学家,0.9403650550369236
发冷 ,0.9403650550369236
兄弟 ,0.9403650550369236
烈性,0.9403650550369236
黑死病 ,0.9403650550369236
止境,0.9403650550369236
征收,0.9403650550369236
审视 ,0.9403650550369236
征用,0.9403650550369236
感染率,0.9403650550369236
大局,0.9403650550369236
角度 ,0.9403650550369236
武汉人,0.9403650550369236
外省,0.9403650550369236
种族,0.9403650550369236
人类史,0.9403650550369236
手术室,0.9403650550369236
床位,0.9403650550369236
监护,0.9403650550369236
外膜,0.9403650550369236
肺氧合 ,0.9403650550369236
权力,0.9403650550369236
ECMO  ,0.9403650550369236
负压,0.9403650550369236
 毒力,0.9403650550369236
叮咬,0.9403650550369236
蚊,0.9403650550369236
肺结核  ,0.9403650550369236
98 35  ,0.9403650550369236
艾滋病 ,0.9403650550369236
 淋病 ,0.9403650550369236
 梅毒 肺结核,0.9403650550369236
P3,0.9403650550369236
有效率,0.9403650550369236
免疫  ,0.9403650550369236
 大考,0.9403650550369236
草案 ,0.9403650550369236
视点 ,0.9403650550369236
直报,0.9403650550369236
皮肤病 ,0.9403650550369236
根除,0.9403650550369236
 天花,0.9403650550369236
主导,0.9403650550369236
大讲坛 ,0.9403650550369236
 军方 ,0.9403650550369236
印度人,0.9403650550369236
福利部,0.9403650550369236
狂犬病 ,0.9403650550369236
感染 ,0.9403650550369236
人兽,0.9403650550369236
黏膜,0.9403650550369236
潜伏期 ,0.9403650550369236
 厅,0.9403650550369236
 厅长,0.9403650550369236
短短,0.9403650550369236
刑 ,0.9403650550369236
位,0.9403650550369236
主办方,0.9403650550369236
 各地,0.9403650550369236
 白喉,0.9403650550369236
 痢疾,0.9403650550369236
麻疹 ,0.9403650550369236
伤寒,0.9403650550369236
帽子 ,0.9403650550369236
隔离衣,0.9403650550369236
接种率,0.9403650550369236
战时,0.9403650550369236
 人毒,0.9403650550369236
建国,0.9403650550369236
 传染病,0.9403650550369236
必要性,0.9403650550369236
委托 ,0.9403650550369236
出血热 ,0.9403650550369236
霍乱 黄热病,0.9403650550369236
 寨卡,0.9403650550369236
基孔肯雅热,0.9403650550369236
病毒病,0.9403650550369236
入境,0.9403650550369236
海关,0.9403650550369236
